username,link_perfil,data_encontrado
nutricarolinapina,https://www.instagram.com/nutricarolinapina/,2026-04-07
nutri.thaynamedeiros,https://www.instagram.com/nutri.thaynamedeiros/,2026-04-07
draleilianeamorim,https://www.instagram.com/draleilianeamorim/,2026-04-07
nucleodenutricaoesaude,https://www.instagram.com/nucleodenutricaoesaude/,2026-04-07
nutriidaymota,https://www.instagram.com/nutriidaymota/,2026-04-07
nutrisofidelgado,https://www.instagram.com/nutrisofidelgado/,2026-04-07
mvafonsonutri,https://www.instagram.com/mvafonsonutri/,2026-04-07
nutri.vitoriamaximo,https://www.instagram.com/nutri.vitoriamaximo/,2026-04-07
anaasnar.nutri,https://www.instagram.com/anaasnar.nutri/,2026-04-07
nutrigabriellasenna,https://www.instagram.com/nutrigabriellasenna/,2026-04-07
keyllanutri,https://www.instagram.com/keyllanutri/,2026-04-07
corpoefaceclinica_,https://www.instagram.com/corpoefaceclinica_/,2026-04-07
josianebrito.nutri,https://www.instagram.com/josianebrito.nutri/,2026-04-07
emanuelagalvao_nutri,https://www.instagram.com/emanuelagalvao_nutri/,2026-04-07
nutrithainahenschel,https://www.instagram.com/nutrithainahenschel/,2026-04-07
clinica.raizaramires,https://www.instagram.com/clinica.raizaramires/,2026-04-07
_nutrianaclaudia,https://www.instagram.com/_nutrianaclaudia/,2026-04-07
nutriisamaracarvalho,https://www.instagram.com/nutriisamaracarvalho/,2026-04-07
nutrijulio.mx,https://www.instagram.com/nutrijulio.mx/,2026-04-07
gabimilaneznutri,https://www.instagram.com/gabimilaneznutri/,2026-04-07
